UF,ANO_EXECUCAO,TOTAL_MATRICULA,TOTAL_ESCOLA_ADESAO,TOTAL_VERBA
MA,2020,15.084000000000001,55,"R$ 8.315.186,83"
MG,2020,18.840999999999998,113,"R$ -"
MS,2020,7.622999999999999,38,"R$ 3.045.700,80"
MT,2020,4.123,28,"R$ 3.320.270,34"
PA,2020,7.335,51,"R$ 2.951.315,72"
PB,2020,18.476,66,"R$ 7.473.728,85"
PE,2020,29.315,106,"R$ 9.254.679,59"
PI,2020,11.385,62,"R$ 5.702.076,40"
PR,2020,5.207000000000001,43,"R$ 1.208.414,37"
RJ,2020,14.539000000000001,93,"R$ 4.467.578,03"
RN,2020,12.539000000000001,54,"R$ 6.458.232,82"
RO,2020,4.623,18,"R$ 2.508.277,22"
RR,2020,1.2570000000000001,5,"R$ 1.338.705,71"
RS,2020,2.455,29,"R$ 5.158.228,79"
SC,2020,6.072,37,"R$ -"
SE,2020,12.839,49,"R$ 8.656.098,95"
SP,2020,22.075,83,"R$ 37.021.841,64"
TO,2020,6.445,29,"R$ 1.086.423,09"
AC,2021,4.018,13,"R$ 2.115.559,10"
AL,2021,13.864,38,"R$ -"
AM,2021,14.401,33,"R$ 2.290.000,00"
AP,2021,5.317,21,"R$ 2.800.000,00"
BA,2021,16.077,84,"R$ 5.040.000,00"
CE,2021,45.007,140,"R$ 81.588.001,25"
DF,2021,5.282,25,"R$ 1.260.000,00"
ES,2021,9.418,38,"R$ 6.151.752,77"
GO,2021,19.456,87,"R$ 2.240.000,00"
MA,2021,17.217,55,"R$ 11.126.637,24"
MG,2021,23.235,113,"R$ -"
MS,2021,7.787999999999999,38,"R$ 11.091.269,82"
MT,2021,4.379,28,"R$ 1.680.000,00"
PA,2021,11.827,51,"R$ 4.000.000,00"
PB,2021,20.104,66,"R$ -"
PE,2021,34.638000000000005,106,"R$ 29.080.738,54"
PI,2021,13.716,62,"R$ 3.600.000,00"
PR,2021,4.984,43,"R$ 2.318.000,00"
RJ,2021,13.797,93,"R$ 4.800.000,00"
RN,2021,13.515999999999998,53,"R$ 4.700.402,29"
RO,2021,5.515,18,"R$ 9.790.270,67"
RR,2021,848.0,5,"R$ -"
RS,2021,2.822,18,"R$ -"
SC,2021,6.471,35,"R$ 4.394.000,00"
SE,2021,15.175,49,"R$ 16.908.319,66"
SP,2021,23.546,83,"R$ -"
TO,2021,7.316,29,"R$ 1.370.000,00"
AC,2022,4.283,13,"R$ 355.818,16"
AL,2022,14.454,38,"R$ -"
AM,2022,12.825999999999999,33,"R$ -"
AP,2022,5.4639999999999995,21,"R$ -"
BA,2022,17.352999999999998,84,"R$ -"
CE,2022,47.23,140,"R$ 78.086.192,81"
DF,2022,4.386,25,"R$ -"
ES,2022,8.783999999999999,38,"R$ -"
GO,2022,18.663,87,"R$ -"
MA,2022,19.589000000000002,55,"R$ 26.894.603,71"
MG,2022,24.628,113,"R$ -"
MS,2022,6.925,38,"R$ 9.874.675,32"
MT,2022,3.739,28,"R$ -"
PA,2022,12.328,51,"R$ -"
PB,2022,19.815,66,"R$ -"
PE,2022,36.179,106,"R$ 80.203.081,17"
PI,2022,15.283,62,"R$ -"
PR,2022,4.8260000000000005,43,"R$ -"
RJ,2022,11.413,93,"R$ -"
RN,2022,13.578,53,"R$ 4.734.437,04"
RO,2022,5.151,18,"R$ 9.989.035,29"
RR,2022,1.112,5,"R$ -"
RS,2022,2.6660000000000004,18,"R$ -"
SC,2022,5.872000000000001,35,"R$ -"
SE,2022,16.36,49,"R$ 17.123.022,19"
SP,2022,21.718000000000004,83,"R$ -"
TO,2022,6.836,29,"R$ -"
AC,2023,3.785,12,"R$ -"
AL,2023,12.504000000000001,38,"R$ -"
AM,2023,12.165,33,"R$ -"
AP,2023,5.013,21,"R$ 2.869.214,38"
BA,2023,16.776,81,"R$ -"
CE,2023,48.001000000000005,140,"R$ 94.460.000,00"
DF,2023,2.822,25,"R$ -"
ES,2023,8.016,38,"R$ -"
GO,2023,17.338,86,"R$ 2.004.395,07"
MA,2023,18.778,55,"R$ 42.249.463,86"
MG,2023,22.776,112,"R$ 3.003.960,71"
MS,2023,6.365,38,"R$ 1.504.467,63"
MT,2023,3.07,26,"R$ -"
PA,2023,12.821,51,"R$ -"
PB,2023,17.058,66,"R$ -"
PE,2023,36.63,106,"R$ 86.483.800,38"
PI,2023,15.567,62,"R$ -"
PR,2023,4.8660000000000005,43,"R$ -"
RJ,2023,9.517000000000001,93,"R$ -"
RN,2023,12.831,53,"R$ 8.974.263,47"
RO,2023,4.882,16,"R$ 6.683.785,53"
RR,2023,783.0,5,"R$ -"
RS,2023,2.34,18,"R$ -"
SC,2023,3.3560000000000003,34,"R$ -"
SE,2023,15.494000000000002,48,"R$ 20.270.452,37"
SP,2023,20.202,83,"R$ -"
TO,2023,6.017,29,"R$ 8.107.672,88"
